Item Name,Description,Category,Vendor,SKU,Internal Code,Unit of Measure,Pack Size,Cost per Unit,Reorder Threshold,Max Par Level,Lead Time (days),Product Image URL,Review Flag
"Cups, Hot/Cold, 6Oz, Styrofoam",,Medical Supplies,Food Stores,113603,HC080,pack,25,,5,45,7,,
"Plates, Paper, Heavy, 9""",,Office / Admin,Food Stores,145320,HP 050,pack,125,,3,19,7,,
"IV Tubing, Vented W/Vent Spike",,Medical Supplies,Midwest,BAXTER 2H8480,I 010,each,1,,25,55,7,,
"IV Tubing, Non-Vented, Continu-Flo, No Filter",,Medical Supplies,McKesson,461366,I 020,each,1,,10,58,7,,
"Safety-Lok Blood Collection Set, 23G (Butterfly)",,Medical Supplies,McKesson,1013024,LB015,box,50,,1,6,7,,
"Bags, Biohazard, Transvelope",,Medical Supplies,McKesson,762458,LB030,box,1000,,1,3,7,,
"Boxes, Glass, Disposable",,Medical Supplies,Midwest,,LB035,pack,6,,0,1,7,,
"Collector, Commode, Stool",,Medical Supplies,McKesson,159648,LC010,each,1,,20,120,7,,
"Cups, Sterile, (No Subs)Bags Of 75",,Medical Supplies,McKesson,503927,LC050,bag,75,,8,16,7,,
"Gloves, Latex Small",,Medical Supplies,McKesson,921592,LG010,box,100,,20,40,7,,
"Gloves, Latex Medium",,Medical Supplies,McKesson,921593,LG015,box,100,,0,10,7,,
"Holder, Vacutainer, Needle",,Lab Supplies,McKesson,458363,LH020,bag,250,,1,5,7,,
"Holder, Needle Protection (Orange)",,Medical Supplies,McKesson,221590,LH030,bag,25,,12,42,7,,
"Microscope Cover Slips, 22Mmx22Mm",,Lab Supplies,McKesson,938364,LM010,pack,1,,3,13,7,,
"Microscope Cover Slips, 24Mmx40Mm",,Lab Supplies,McKesson,936783,LM030,box,1,,0,2,7,,
"Microscope Slides, Single Frosted End 1X3",,Lab Supplies,McKesson,938362,LM065,box,72,,4,18,7,,
"Needle Sheath, Safety Device (Red)",,Medical Supplies,McKesson,419816,LN010,bag,100,,0,1,7,,
