Item Name,Description,Category,Vendor,SKU,Internal Code,Unit of Measure,Pack Size,Cost per Unit,Reorder Threshold,Max Par Level,Lead Time (days),Product Image URL,Review Flag
"Lumbar Roll, Super",,Sale Items,OPTP,,SI P220,each,1,,2,5,7,,
"Putty, Extra Soft",,Sale Items,McKesson,1129158,SI P250,each,1,,1,2,7,,
"Putty, Soft",,Sale Items,McKesson,1129150,SI P251,each,1,,1,3,7,,
"Putty, Medium",,Sale Items,McKesson,1129146,SIP252,each,1,,1,3,7,,
"Putty, Firm",,Sale Items,McKesson,1129142,SIP253,each,1,,1,3,7,,
"Stockinette, C",,Sale Items,Sammons Preston,,SI P300,each,1,,0,66,7,,
"Stockinette, D",,Sale Items,Sammons Preston,,SI P301,each,1,,0,66,7,,
"Stockinette, E",,Sale Items,Sammons Preston,,SI P302,each,1,,0,66,7,,
"Stockinette, F",,Sale Items,Sammons Preston,,SI P303,each,1,,0,66,7,,
"Theraband, Yellow Non-Latex",,Sale Items,Performance Health - Medco Sports Medicine,081576701,SI P500,foot,1,,0,150,7,,
"Theraband, Red Non-Latex",,Sale Items,Performance Health - Medco Sports Medicine,081576719,SI P501,foot,1,,0,150,7,,
"Theraband, Green Non-Latex",,Sale Items,Performance Health - Medco Sports Medicine,081576727,SIP502,foot,1,,0,150,7,,
"Theraband, Blue Non-Latex",,Sale Items,Performance Health - Medco Sports Medicine,081576735,SI P503,foot,1,,0,150,7,,
"Theraband, Black",,Sale Items,Performance Health - Medco Sports Medicine,716805,SI P504,foot,1,,0,150,7,,
"Theraband, Silver",,Sale Items,Performance Health - Medco Sports Medicine,716806,SI P505,foot,1,,0,150,7,,
Wall Pulley,,Sale Items,McKesson,315558,SI P700,each,1,,1,2,7,,
"Rib Belt, Men, Universal",,Sale Items,McKesson,380973,SI R200,each,1,,0,1,7,,
"Rib Belt, Women, Universal",,Sale Items,McKesson,251633,SI R250,each,1,,0,1,7,,
"Athletic Tape, 1.5""",,Sale Items,Sammons Preston,,SI T045,roll,1,,0,8,7,,
"Cloth Tape, 1""",,Sale Items,McKesson,5775,SI T055,roll,1,,0,12,7,,
"Coban, 1""",,Sale Items,McKesson,520550,SI T052,each,1,,0,30,7,,
"Coban 2""",,Sale Items,McKesson,520551,SI T 053,each,1,,10,46,7,,Duplicate item name
"Elasticon Tape, 1""",,Sale Items,McKesson,,SI T060,roll,1,,0,0,7,,
"Elasticon Tape, 3""",,Sale Items,McKesson,,SI T065,roll,1,,0,0,7,,
"Micropore Tape, 1/2""",,Sale Items,McKesson,5766,SI T070,roll,1,,0,12,7,,
"Micropore Tape, 1""",,Sale Items,McKesson,5767,SI T075,roll,1,,0,12,7,,
"Micropore Tape, 2""",,Sale Items,McKesson,,SI T080,roll,1,,0,6,7,,
"Thumb Spica, Small, Left",,Sale Items,McKesson,341417,SI T310,each,1,,2,4,7,,
"Thumb Spica, Small, Right",,Sale Items,McKesson,341420,SI T311,each,1,,2,6,7,,
"Thumb Spica, Medium, Left",,Sale Items,McKesson,341418,SI T312,each,1,,2,5,7,,
"Thumb Spica, Medium, Right",,Sale Items,McKesson,341421,SI T313,each,1,,2,5,7,,
"Thumb Spica, Large, Left",,Sale Items,McKesson,341419,SI T314,each,1,,2,4,7,,
"Thumb Spica, Large, Right",,Sale Items,McKesson,341422,SI T315,each,1,,2,4,7,,
"Carpal Tunnel, Small, Right",,Sale Items,RBJ Athletics,,SI W201,each,1,,0,1,7,,
"Carpal Tunnel, Medium, Left",,Sale Items,RBJ Athletics,,SI W202,each,1,,0,1,7,,
"Carpal Tunnel, Medium, Right",,Sale Items,RBJ Athletics,,SI W203,each,1,,1,2,7,,
"Carpal Tunnel, Large, Left",,Sale Items,RBJ Athletics,,SI W204,each,1,,0,1,7,,
"Carpal Tunnle, Large, Right",,Sale Items,RBJ Athletics,,SI W205,each,1,,1,2,7,,
"Carpal Tunnel, X-Large, Left",,Sale Items,RBJ Athletics,,SI W206,each,1,,0,1,7,,
"Carpal Tunnel, X-Large, Right",,Sale Items,RBJ Athletics,,SI W207,each,1,,0,1,7,,
"Thumb Spica, UNI, Right",,Sale Items,McKesson,1159146,SIT321,each,1,,,,7,,Missing par/max
"Thumb Spica, UNI, Left",,Sale Items,McKesson,1159147,SIT322,each,1,,,,7,,Missing par/max
"Forearm Metal, Youth, Left",,Sale Items,Zimmer,,SI W400,each,1,,0,1,7,,
"Forearm Metal, Youth, Right",,Sale Items,Zimmer,,SI W401,each,1,,1,2,7,,
"Forearm Metal, Large, Left",,Sale Items,Zimmer,,SI W402,each,1,,0,1,7,,
"Forearm Metal, Large, Right",,Sale Items,Zimmer,,SI W403,each,1,,0,1,7,,
"Wrist Support, Small, Left",,Sale Items,McKesson,341409,SI W510,each,1,,2,4,7,,
"Wrist Support, Small, Right",,Sale Items,McKesson,341413,SI W511,each,1,,4,8,7,,
"Wrist Support, Medium, Left",,Sale Items,McKesson,341410,SI W512,each,1,,4,8,7,,
"Wrist Support, Medium, Right",,Sale Items,McKesson,341414,SI W513,each,1,,4,8,7,,
"Wrist Support, Large, Left",,Sale Items,McKesson,341411,SI W514,each,1,,2,6,7,,
"Wrist Brace, LT, UNI",,Sale Items,McKesson,832139,SIW521,,,,,,7,,Missing par/max; Missing packaging
"Wrist Brace, RT, UNI",,Sale Items,McKesson,832140,SIW522,,,,,,7,,Missing par/max; Missing packaging
"Wrist Support, Large, Right",,Sale Items,McKesson,341415,SI W515,each,1,,2,6,7,,
Table Paper,,Office / Admin,McKesson,94893,T 010,case,12,,10,20,7,,
"Coban 1"" Latex Free",,Physical Therapy / Ortho,McKesson,520550,T 052,each,1,,10,40,7,,
"Coban 2"" Latex Free",,Physical Therapy / Ortho,McKesson,520551,T 053,each,1,,10,40,7,,
"Coban 3"" Latex Free",,Physical Therapy / Ortho,McKesson,520552,T 054,each,1,,10,40,7,,
"Durapore, 1""",,Medical Supplies,McKesson,5775,T 055,roll,1,,12,24,7,,
"Micropore, 1""",,Medical Supplies,McKesson,5767,T 075,roll,1,,12,24,7,,
"Probe Covers, Wa Sure Temp",,Medical Supplies,McKesson,953916,T 100,box,250,,12,48,7,,
"Tongue Depressors, Unwrapped",,Medical Supplies,McKesson,484942,T 170,box,500,,6,12,7,,
Urine Strainer,,Lab Supplies,McKesson,624634,U 010,each,1,,10,30,7,,
